iter	Passed	Remaining
648	1591	860
649	1593	858
650	1596	855
651	1598	853
652	1601	850
653	1603	848
654	1606	846
655	1608	843
656	1611	841
657	1613	838
658	1616	836
659	1618	833
660	1621	831
661	1624	829
662	1626	826
663	1628	824
664	1631	821
665	1634	819
666	1636	817
667	1639	814
668	1641	812
669	1644	809
670	1646	807
671	1649	805
672	1651	802
673	1654	800
674	1656	797
675	1659	795
676	1662	792
677	1664	790
678	1667	788
679	1669	785
680	1672	783
681	1674	780
682	1677	778
683	1679	775
684	1682	773
685	1684	771
686	1687	768
687	1689	766
688	1692	763
689	1694	761
690	1697	758
691	1699	756
692	1702	754
693	1704	751
694	1707	749
695	1709	746
696	1712	744
697	1714	741
698	1717	739
699	1719	737
700	1722	734
701	1724	732
702	1727	729
703	1729	727
704	1732	724
705	1734	722
706	1737	719
707	1739	717
708	1742	715
709	1744	712
710	1747	710
711	1749	707
712	1752	705
713	1754	702
714	1757	700
715	1759	697
716	1762	695
717	1764	693
718	1767	690
719	1769	688
720	1772	685
721	1774	683
722	1777	680
723	1779	678
724	1782	676
725	1784	673
726	1787	671
727	1789	668
728	1792	666
729	1794	663
730	1797	661
731	1800	659
732	1802	656
733	1805	654
734	1807	651
735	1810	649
736	1812	646
737	1815	644
738	1818	642
739	1820	639
740	1822	637
741	1825	634
742	1828	632
743	1830	629
744	1833	627
745	1835	625
746	1838	622
747	1840	620
748	1843	617
749	1845	615
750	1848	612
751	1850	610
752	1853	607
753	1855	605
754	1858	603
755	1860	600
756	1863	598
757	1865	595
758	1868	593
759	1870	590
760	1873	588
761	1875	585
762	1878	583
763	1881	581
764	1883	578
765	1885	576
766	1888	573
767	1891	571
768	1893	568
769	1896	566
770	1898	563
771	1901	561
772	1903	559
773	1906	556
774	1909	554
775	1911	551
776	1914	549
777	1916	546
778	1919	544
779	1921	542
780	1924	539
781	1926	537
782	1929	534
783	1932	532
784	1934	529
785	1937	527
786	1939	524
787	1941	522
788	1944	519
789	1946	517
790	1949	515
791	1951	512
792	1954	510
793	1956	507
794	1959	505
795	1961	502
796	1964	500
797	1966	497
798	1969	495
799	1971	492
800	1974	490
801	1976	488
802	1979	485
803	1981	483
804	1984	480
805	1987	478
806	1989	475
807	1992	473
808	1994	470
809	1997	468
810	1999	465
811	2002	463
812	2004	461
813	2007	458
814	2009	456
815	2012	453
816	2014	451
817	2017	448
818	2019	446
819	2022	443
820	2024	441
821	2027	438
822	2029	436
823	2032	434
824	2034	431
825	2037	429
826	2039	426
827	2042	424
828	2044	421
829	2047	419
830	2049	416
831	2052	414
832	2054	411
833	2056	409
834	2059	406
835	2062	404
836	2064	402
837	2067	399
838	2069	397
839	2072	394
840	2074	392
841	2076	389
842	2079	387
843	2082	384
844	2084	382
845	2087	379
846	2089	377
847	2092	375
848	2094	372
849	2097	370
850	2099	367
851	2102	365
852	2104	362
853	2107	360
854	2109	357
855	2112	355
856	2114	352
857	2117	350
858	2120	347
859	2122	345
860	2125	343
861	2128	340
862	2130	338
863	2132	335
864	2134	333
865	2136	330
866	2139	328
867	2141	325
868	2144	323
869	2146	320
870	2149	318
871	2151	315
872	2154	313
873	2157	310
874	2159	308
875	2162	306
876	2164	303
877	2166	301
878	2169	298
879	2171	296
